FillerType,TrialType,Word,Target,Visual1,Visual2,Onset,Offset,Contrast,Phase,final_stop,Left/Right,Order,Filename,CorrectAnswer
,CR,duck,duck,dug,duck,stop,stop,offset,test2,k,1,9,duck,duck
R,FL,goal,goal,goal,coal,stop,liquid,onset,test2,,0,10,goal,goal
R,FL,wren,wren,ran,wren,liquid,nasal,vowel,test2,,1,11,wren2,wren
R,FL,coal,coal,coal,goal,stop,liquid,onset,test2,,0,12,coal,coal
,CR,dug,dug,dug,duck,stop,stop,offset,test2,g,0,13,dug,dug
R,FL,batch,batch,patch,batch,stop,affricate,onset,test2,,1,14,batch2,batch
R,FL,hone,hone,hone,home,fricative,nasal,offset,test2,,0,15,hone,hone
,CR,bud,bud,but,bud,stop,stop,offset,test2,d,1,16,bud,bud
R,FL,patch,patch,batch,patch,stop,affricate,onset,test2,,1,17,patch,patch
R,FL,pen,pen,pen,pan,stop,nasal,vowel,test2,,0,18,pen,pen
R,FL,mice,mice,mess,mice,nasal,fricative,vowel,test2,,1,19,mice,mice
,CR,rope,rope,robe,rope,liquid,stop,offset,test2,p,1,20,rope,rope
R,FL,mouse,mouse,mouse,moss,nasal,fricative,onset,test2,,0,21,mouse,mouse
,CR,feed,feed,feed,feet,fricative,stop,offset,test2,d,0,22,feed,feed
R,FL,doom,doom,doom,dune,stop,nasal,offset,test2,,0,23,doom,doom
R,FL,pan,pan,pen,pan,stop,nasal,vowel,test2,,1,24,pan2,pan
,CR,sag,sag,sag,sack,fricative,stop,offset,test2,g,0,25,sag,sag
R,FL,home,home,home,hone,fricative,nasal,offset,test2,,0,26,home2,home
,CR,robe,robe,rope,robe,liquid,stop,offset,test2,b,1,27,robe,robe
,CR,tap,tap,tap,tab,stop,stop,offset,test2,p,0,28,tap,tap
R,FL,mice,mice,mess,mice,nasal,fricative,vowel,test2,,1,29,mice2,mice
R,FL,rum,rum,rum,run,liquid,nasal,offset,test2,,0,30,rum,rum
R,FL,mouse,mouse,moss,mouse,nasal,fricative,onset,test2,,1,31,mouse2,mouse
,CR,feet,feet,feed,feet,fricative,stop,offset,test2,t,1,32,feet,feet
